Country,variant,first_seq,last_seq,duration,mortality_rate,total_cases,total_deaths,growth_rate,Continent
Afghanistan,S.Q677,2021-01-21,2020-06-03,1,0.043435104686112676,863.5396825,37.50793651,891.4513362,Asia
Afghanistan,S.N501,2021-03-21,2021-11-19,244,0.041348718459856715,9644.899471,398.8042328,173.2348176,Asia
Afghanistan,21A.Delta,2021-04-26,2021-11-12,201,0.04347195589714555,2791.193122,121.3386243,224.5964286,Asia
Afghanistan,21I.Delta,2021-05-21,2021-11-14,178,0.04242927197299534,350.6613757,14.87830688,382.7,Asia
Afghanistan,ORF1a.S3675,2021-03-21,2021-11-19,244,0.04134871846290584,9830.378307,406.473545,173.2348176,Asia
Afghanistan,21F.Iota,2021-04-07,2021-11-21,229,0.04416858613896405,150.457672,6.645502646,891.4513362,Asia
Afghanistan,S.Y144-,2021-03-21,2021-11-24,249,0.041348718459856715,9644.899471,398.8042328,173.2348176,Asia
Afghanistan,20I.Alpha.V1,2021-03-21,2021-11-18,243,0.041348718459856715,9644.899471,398.8042328,173.2348176,Asia
Afghanistan,S.A222,2021-05-21,2021-11-08,172,0.04242927197299534,350.6613757,14.87830688,382.7,Asia
Afghanistan,21A.21B,2021-04-26,2021-10-29,187,0.04242927198611112,2980.621693,126.4656085,248.9428571,Asia
Afghanistan,S.E484,2021-04-07,2021-11-03,211,0.04416858613896405,150.457672,6.645502646,891.4513362,Asia
Afghanistan,S.H69-,2021-03-21,2021-10-24,218,0.04134871846290584,9830.378307,406.473545,173.2348176,Asia
Afghanistan,S.P681,2021-03-21,2021-11-03,228,0.04134871845971688,12983.51852,536.8518519,173.2348176,Asia
Armenia,S.N501,2021-03-18,2021-08-09,145,0.020050905988245195,12275.05882,246.1260504,414.6719977,Asia
Armenia,21A.Delta,2021-06-29,2021-09-02,66,0.020065165108180193,945.2394958,18.96638655,891.4513362,Asia
Armenia,ORF1a.S3675,2021-03-18,2021-10-07,204,0.02007435932482502,17066.79832,342.605042,369.9168217,Asia
Armenia,DanishCluster,2021-07-31,2021-07-03,1,0.020051279820694226,966.8487395,19.38655462,891.4513362,Asia
Armenia,S.Y144-,2021-03-18,2020-07-13,1,0.020074359331443997,15170.48739,304.5378151,369.9168217,Asia
Armenia,20I.Alpha.V1,2021-03-18,2020-12-16,1,0.02007435932482502,17066.79832,342.605042,369.9168217,Asia
Armenia,21A.21B,2021-06-17,2021-07-19,33,0.020024035758344647,35961.82353,720.1008403,145.4048019,Asia
Armenia,S.H69-,2021-03-18,2021-01-20,1,0.020074359331443997,15170.48739,304.5378151,369.9168217,Asia
Armenia,S.H655,2020-09-03,2021-07-09,310,0.020035689280304417,186.012605,3.726890756,891.4513362,Asia
Armenia,21J.Delta,2021-06-17,2021-07-13,27,0.02002403576118313,48597.05882,973.1092437,145.4048019,Asia
Azerbaijan,S.N501,2021-02-01,2021-11-15,288,0.013661887745831783,27738.48,378.96,142.7857143,Asia
Azerbaijan,S.L18,2021-01-04,2021-07-10,188,0.012515922556312587,8823.96,110.44,891.4513362,Asia
Azerbaijan,21I.Delta,2021-07-14,2021-10-08,87,0.014774793988187275,13504.08,199.52,891.4513362,Asia
Azerbaijan,ORF1a.S3675,2021-02-01,2021-11-10,283,0.013661887745831783,27738.48,378.96,142.7857143,Asia
Azerbaijan,S.Y144-,2021-01-04,2021-08-30,239,0.013661887745831783,36984.64,505.28,281.7627451,Asia
Azerbaijan,20I.Alpha.V1,2021-02-01,2021-07-13,163,0.013661887745831783,27738.48,378.96,142.7857143,Asia
Azerbaijan,S.A222,2021-02-01,2021-05-21,110,0.01361725778997464,18423.68,250.88,891.4513362,Asia
Azerbaijan,21A.21B,2021-07-14,2021-07-25,12,0.014774793988187275,13504.08,199.52,891.4513362,Asia
Azerbaijan,S.S477,2021-01-03,2021-09-30,271,0.012407781535877238,8810.6,109.32,891.4513362,Asia
Azerbaijan,S.H69-,2021-02-01,2021-09-21,233,0.013661887745831783,27738.48,378.96,142.7857143,Asia
Azerbaijan,S.P681,2021-02-01,2021-04-01,60,0.013661887745831783,27738.48,378.96,142.7857143,Asia
Bahrain,S.Q677,2021-04-10,2021-10-15,189,0.005034606138687465,312.9478298,1.575569065,544.264983,Asia
Bahrain,S.N501,2021-02-14,2021-07-06,143,0.00502588710506909,3252.466422,16.34652905,679.9637701,Asia
Bahrain,S.L18,2021-04-04,2021-07-31,119,0.005026376750654873,705.2854517,3.545030397,524.9388229,Asia
Bahrain,21A.Delta.S.K417,2021-10-14,2021-09-30,1,0.00503551610871966,78.22281917,0.393892266,63.57142857,Asia
Bahrain,21A.Delta,2021-04-09,2021-01-27,1,0.005025887108593238,2311.994203,11.61982186,495.1668828,Asia
