Country,variant,first_seq,last_seq,duration,mortality_rate,total_cases,total_deaths,growth_rate,Continent
Antigua and Barbuda,S.N501,2021-02-14,2021-11-08,268,0.03359375000354004,97.10344828,3.262068966,3.636269848,North America
Antigua and Barbuda,S.L18,2021-07-22,2021-05-26,1,0.032889584916745825,8.806896552,0.289655172,891.4513362,North America
Antigua and Barbuda,21A.Delta,2021-07-26,2021-07-31,6,0.032799389764790216,9.04137931,0.296551724,2.927272727,North America
Antigua and Barbuda,21I.Delta,2021-07-18,2021-09-16,61,0.03300076744271293,8.986206897,0.296551724,2.252747253,North America
Antigua and Barbuda,ORF1a.S3675,2021-01-26,2021-09-25,243,0.03359374999778748,105.9310345,3.55862069,5.263157469,North America
Antigua and Barbuda,21F.Iota,2021-05-03,2021-08-23,113,0.02597402607185023,4.248275862,0.110344828,891.4513362,North America
Antigua and Barbuda,S.Y144-,2021-01-26,2021-07-18,174,0.03359374999530945,88.27586207,2.965517241,5.263157469,North America
Antigua and Barbuda,20I.Alpha.V1,2021-02-14,2021-01-31,1,0.033593749994503624,83.86206897,2.817241379,3.636269848,North America
Antigua and Barbuda,S.A222,2021-07-18,2021-11-08,114,0.03312302834463225,4.372413793,0.144827586,891.4513362,North America
Antigua and Barbuda,21C.Epsilon,2021-04-24,2021-11-06,197,0.025264873739389942,4.231034483,0.106896552,891.4513362,North America
Antigua and Barbuda,21A.21B,2021-07-02,2021-05-11,1,0.031204644403079213,171.062069,5.337931034,2.457082452,North America
Antigua and Barbuda,S.E484,2021-01-26,2021-03-05,39,0.03288958496216477,22.01724138,0.724137931,5.396971473,North America
Antigua and Barbuda,S.H69-,2021-02-14,2021-03-09,24,0.033593749994503624,83.86206897,2.817241379,3.636269848,North America
Antigua and Barbuda,20J.Gamma.V3,2021-07-22,2021-04-22,1,0.03288958498746471,13.21034483,0.434482759,891.4513362,North America
Antigua and Barbuda,S.H655,2021-07-22,2021-06-07,1,0.03288958498746471,13.21034483,0.434482759,891.4513362,North America
Antigua and Barbuda,S.P681,2021-02-14,2021-08-14,182,0.024105754284190727,1024.365517,24.69310345,8.179951592,North America
Antigua and Barbuda,21J.Delta,2021-07-02,2021-08-25,55,0.024105754271666002,705.0827586,16.99655172,25.38187269,North America
Bahamas,S.Q677,2021-01-18,2021-01-18,1,0.02014113495250187,134.9603175,2.718253968,32.15522433,North America
Bahamas,S.N501,2021-03-18,2021-11-24,252,0.01913223944484078,1927.375,36.875,42.55911635,North America
Bahamas,S.L18,2021-07-22,2021-04-30,1,0.01988244685860993,27.34325397,0.543650794,891.4513362,North America
