Country,variant,first_seq,last_seq,duration,mortality_rate,total_cases,total_deaths,growth_rate,Continent
Argentina,Delta.250I,2021-08-03,2021-05-29,67,0.021523731644829135,493.9869501,10.63244255,8616.381705,South America
Argentina,21I.Delta,2021-06-04,2021-08-30,88,0.021906832257231088,20873.71511,457.2769755,7611.229982,South America
Argentina,20H.Beta.V2,2021-04-24,2021-03-25,31,0.021601112071962594,136.5385021,2.949383486,891.4513362,South America
Argentina,20B.S.732A,2020-11-08,2021-09-20,317,0.02118487553139983,7201.028643,152.5528955,9769.599966,South America
Argentina,21D.Eta,2021-05-04,2021-04-01,34,0.021395824730331737,146.2081754,3.128244495,891.4513362,South America
Argentina,DanishCluster,2021-06-24,2021-09-27,96,0.021928616017462686,2021.152041,44.32106702,8146.138764,South America
Argentina,S.K417,2021-04-24,2021-10-27,187,0.021601112071962594,136.5385021,2.949383486,891.4513362,South America
Argentina,S.N439K,2020-12-22,2021-07-14,205,0.027168115812638144,74.61876889,2.027251355,891.4513362,South America
Bolivia,S.Q677,2020-12-08,2021-06-02,177,0.0472223715728359,2895.461078,136.7305389,1505.81027,South America
Bolivia,S.Q613,2021-03-26,2021-05-19,55,0.045189813596749194,1609.047904,72.71257485,891.4513362,South America
Bolivia,DanishCluster,2020-11-19,2021-08-20,275,0.06183394084094562,860.8143713,53.22754491,891.4513362,South America
Bolivia,S.Y145,2021-02-06,2021-06-20,135,0.038970658253778004,4527.281437,176.4311377,1119.742174,South America
Bolivia,21H.Mu,2021-02-06,2021-09-14,221,0.038970658253778004,4527.281437,176.4311377,1119.742174,South America
Bolivia,S.A222,2021-01-28,2021-08-25,210,0.04852747170249049,1261.832335,61.23353293,891.4513362,South America
Bolivia,21G.Lambda,2021-02-03,2021-07-05,153,0.038970658253778004,4527.281437,176.4311377,1111.723498,South America
Bolivia,20A.EU1,2021-01-28,2021-03-07,39,0.04852747170249049,1261.832335,61.23353293,891.4513362,South America
Brazil,S.Y453F,2020-06-18,2021-10-13,483,0.048589815106262285,2.939774471,0.142843098,891.4513362,South America
Brazil,Omicron.Similar,2021-11-25,2021-11-13,13,0.027826627308984855,131.4602494,3.658095366,891.4513362,South America
Brazil,21K.Omicron,2021-11-25,2021-11-28,4,0.027826627308984855,131.4602494,3.658095366,891.4513362,South America
Brazil,21D.Eta,2021-02-15,2021-11-26,285,0.024309952689525155,29.41656165,0.715115222,891.4513362,South America
Brazil,S.Q677H.Mockingbird,2021-01-03,2021-11-27,329,0.025353149984559335,23.04900568,0.584364898,891.4513362,South America
Brazil,S.S98F,2021-01-15,2021-11-20,310,0.024805350553877,25.03326928,0.62095902,891.4513362,South America
Brazil,S.Q677H.Yellowhammer,2021-08-01,2021-08-17,17,0.027934864128366505,59.41368071,1.659713098,891.4513362,South America
Brunei,S.L18,2021-01-20,2021-11-09,294,0.01724137955529132,1.689320388,0.029126214,891.4513362,South America
Brunei,21I.Delta,2021-07-21,2021-09-13,55,0.003521126761585003,124.0776699,0.436893204,15.4258347,South America
Brunei,20H.Beta.V2,2021-01-20,2021-11-13,298,0.01724137955529132,1.689320388,0.029126214,891.4513362,South America
Brunei,ORF1a.S3675,2021-01-20,2021-10-11,265,0.01724137955529132,1.689320388,0.029126214,891.4513362,South America
Brunei,S.K417,2021-01-20,2021-10-29,283,0.01724137955529132,1.689320388,0.029126214,891.4513362,South America
Brunei,S.A222,2021-07-21,2021-06-30,22,0.003521126761585003,124.0776699,0.436893204,15.4258347,South America
Brunei,21A.21B,2021-07-21,2021-11-13,116,0.003521126762144463,231.6116505,0.815533981,15.4258347,South America
Brunei,S.P681,2021-07-21,2021-09-28,70,0.003521126762144463,231.6116505,0.815533981,15.4258347,South America
Brunei,21J.Delta,2021-07-21,2021-07-14,8,0.00983606558186178,38.49514563,0.378640777,891.4513362,South America
Chile,S.Q677,2020-08-21,2021-10-23,429,0.022016814720447652,6820.692521,150.1699235,3612.883998,South America
Chile,20A.S.210T,2021-03-23,2021-11-20,243,0.02373806679003732,17.68355712,0.41977346,891.4513362,South America
Chile,21A.Delta.S.K417,2021-08-25,2021-08-09,17,0.02245511636950204,30.6648601,0.688583002,891.4513362,South America
Chile,S.Q677H.Robin2,2021-02-14,2021-11-03,263,0.025174920665995464,14.55646613,0.36645788,891.4513362,South America
Chile,21A.Delta,2021-06-30,2021-07-14,15,0.02204267805553651,968.2460056,21.34273498,906.0511784,South America
Chile,Delta.250I,2021-08-23,2021-10-20,59,0.022641041010207936,62.54395769,1.416060311,580.0569468,South America
Chile,S.Q613,2020-09-21,2021-10-15,390,0.02209167565022185,1415.413097,31.26884705,3762.101921,South America
Chile,S.Q677P.Pelican,2021-03-06,2021-10-21,230,0.024701258011786277,15.94934739,0.393968945,891.4513362,South America
Chile,21I.Delta,2021-06-13,2021-11-01,142,0.022132797954699943,3723.037882,82.40124522,1109.578415,South America
Chile,20H.Beta.V2,2021-04-06,2021-11-19,228,0.020770618330485092,114.6507389,2.381366739,6245.359104,South America
Chile,Delta.299I,2021-08-23,2021-09-09,18,0.022447463725182398,30.65025129,0.688020404,891.4513362,South America
Chile,Delta.ORF1a3059F,2021-08-30,2021-08-22,9,0.02201681472272398,5010.461331,110.3143988,1055.585249,South America
Chile,20B.S.732A,2021-01-03,2021-07-18,197,0.0228095541552701,138.0033381,3.147794614,4317.382311,South America
Chile,21F.Iota,2021-02-19,2021-11-09,264,0.02213773348086116,130.8391343,2.896481884,5993.548733,South America
Chile,DanishCluster,2020-12-21,2021-09-09,263,0.02206933882895526,322.197322,7.110681869,3950.524275,South America
Chile,S.Q677H.Mockingbird,2020-12-23,2021-11-13,326,0.027413376464422195,22.44370265,0.61525767,2411.9,South America
Chile,S.K417,2021-04-06,2021-10-30,208,0.022605794853876638,215.4879979,4.871277474,4110.629464,South America
Chile,S.Y145,2021-02-23,2021-11-21,272,0.022069338830032252,31220.9205,689.0250731,3504.628804,South America
Chile,S.Y144-,2020-04-09,2021-08-12,491,0.021980984134043955,12870.76174,282.9120096,3272.003704,South America
Chile,21H.Mu,2021-04-27,2021-08-24,120,0.022069338824753516,30350.98774,669.8262321,2268.593813,South America
Chile,20I.Alpha.V1,2020-12-22,2021-09-25,278,0.02253697362823974,8387.66953,189.032687,4955.214435,South America
